Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Stephen Curry,48070014,PG,34,GSW,56,34.7,20.2,0.493,6.1,6.3,29.4,1941,24.1,0.656,0.248,9.7,30,31,7.8,7.5,0.1,7.5,4.7
John Wall,47345760,PG,32,LAC,34,22.2,9.9,0.408,2.7,5.2,11.4,755,13.6,0.498,0.334,6.8,35.3,27,0.3,-0.8,-0.4,-1.2,0.1
Russell Westbrook,47080179,PG,34,LAL/LAC,73,29.1,13.6,0.436,5.8,7.5,15.9,2126,16.1,0.513,0.317,10.8,38.6,27.7,1.9,0.3,-0.1,0.2,1.2
LeBron James,44474988,PF,38,LAL,55,35.5,22.2,0.5,8.3,6.8,28.9,1954,23.9,0.583,0.268,12.5,33.5,33.3,5.6,5.5,0.6,6.1,4
Kevin Durant,44119845,PF,34,BRK/PHO,47,35.6,18.3,0.56,6.7,5,29.1,1672,25.9,0.677,0.387,10.5,24.5,30.7,6.8,6,1.2,7.1,3.9
Bradley Beal,43279250,SG,29,WAS,50,33.5,17.6,0.506,3.9,5.4,23.2,1673,19.7,0.593,0.26,6.5,26.6,29.2,3.4,2.9,-1.2,1.8,1.6
Kawhi Leonard,42492492,SF,31,LAC,52,33.6,16.8,0.512,6.5,3.9,23.8,1748,23.9,0.623,0.32,10.8,19.6,27,7.1,5.1,0.9,6.1,3.5
Paul George,42492492,SF,32,LAC,56,34.6,17.9,0.457,6.1,5.1,23.8,1939,19.6,0.588,0.293,9.9,24.2,29.5,4.6,2.4,0.3,2.8,2.3
Giannis Antetokounmpo,42492492,PF,28,MIL,63,32.1,20.3,0.553,11.8,5.7,31.1,2024,29,0.605,0.604,19.1,33.2,38.8,8.6,5.8,2.7,8.5,5.4
Damian Lillard,42492492,PG,32,POR,58,36.3,20.7,0.463,4.8,7.3,32.2,2107,26.7,0.645,0.464,7.6,35,33.8,9,8.3,-1.2,7.1,4.9
Klay Thompson,40600080,SF,32,GSW,69,33,18.1,0.436,4.1,2.4,21.9,2279,14.7,0.576,0.105,6.9,11,26.4,3.1,1.5,-1.7,-0.3,1
Kyrie Irving,38917057,PG,30,BRK/DAL,60,37.4,20.1,0.494,5.1,5.5,27.1,2241,22.4,0.613,0.227,7.7,25.4,28.9,7.4,4.8,-0.7,4.1,3.5
Rudy Gobert,38172414,C,30,MIN,70,30.7,7.8,0.659,11.6,1.2,13.4,2148,18.9,0.675,0.623,21.2,5.6,16.3,7.8,0,0.7,0.7,1.4
Khris Middleton,37984276,SF,31,MIL,33,24.3,12.3,0.436,4.2,4.9,15.1,801,17.4,0.551,0.251,9.1,30.7,27.4,1.9,1,-0.3,0.8,0.6
Anthony Davis,37980720,C,29,LAL,56,34,17.2,0.563,12.5,2.6,25.9,1904,27.8,0.627,0.462,19.7,13,28.4,9,4.6,1.7,6.3,4
Jimmy Butler,37653300,PF,33,MIA,64,33.4,13.9,0.539,5.9,5.3,22.9,2138,27.6,0.647,0.625,10.3,27.1,25.6,12.3,6.7,2,8.7,5.8
Tobias Harris,37633050,SF,30,PHI,74,32.9,11.4,0.501,5.7,2.5,14.7,2436,14.8,0.602,0.153,10.3,11.4,18.2,5.9,0.6,0.1,0.7,1.7
Kemba Walker,37281261,PG,32,DAL,9,16,6.3,0.421,1.8,2.1,8,144,15,0.543,0.368,6.5,20.1,22.1,0.3,0.3,-0.6,-0.3,0.1
Trae Young,37096500,PG,24,ATL,73,34.8,19,0.429,3,10.2,26.2,2541,22,0.573,0.46,4.7,42.5,32.6,6.7,5.3,-2,3.3,3.4
Zach LaVine,37096500,SG,27,CHI,77,35.9,18,0.485,4.5,4.2,24.8,2768,19,0.607,0.308,7.1,18.7,28.3,7.1,2.7,-0.7,1.9,2.7
Ben Simmons,35448672,PG,26,BRK,42,26.3,5.6,0.566,6.3,6.1,6.9,1105,13.4,0.559,0.243,13.4,31.3,14.3,2.2,-2.2,2.6,0.4,0.7
Pascal Siakam,35448672,PF,28,TOR,71,37.4,18.5,0.48,7.8,5.8,24.2,2652,20.3,0.565,0.361,11.9,24.9,27.2,7.8,3.3,-0.1,3.1,3.4
Myles Turner,35096500,C,26,IND,62,29.4,11.8,0.548,7.5,1.4,18,1825,20,0.651,0.377,14.2,7.5,22,5.4,1.4,0.7,2.1,1.9
Jrue Holiday,34319520,PG,32,MIL,67,32.6,15.3,0.479,5.1,7.4,19.3,2183,19.2,0.586,0.173,8.1,34.4,25,6.7,3,0.1,3.1,2.8
Karl-Anthony Towns,33833400,PF,27,MIN,29,33,14.8,0.495,8.1,4.8,20.8,957,18.8,0.618,0.315,13.8,22,25.6,2.7,2.1,0.9,3,1.2
